"","Representative_ASV","Beta","SE","P","FDR_BH","DA","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"264","ASV272",-1.35701992033721,0.423374766796955,0.00134947488058524,0.00920096509489936,TRUE,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"266","ASV274",3.33183738051333,1.06100244118875,0.00168790427772457,0.0107658558315939,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"267","ASV275",1.41129417810195,0.349956220313241,5.51223988051737e-05,0.000539240857876699,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"268","ASV276",3.99218961274111,0.749095480532408,9.85666162509405e-08,1.77419909251693e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"290","ASV299",4.47395853220474,0.753348655340965,2.87182032428487e-09,1.05041118304943e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Marine Methylotrophic Group 2",NA
"291","ASV300",2.20687825424834,0.232337355168079,2.12742818264177e-21,9.57342682188797e-19,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"300","ASV312",4.38598580167722,0.739661564804845,3.03452119547614e-09,1.05041118304943e-07,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"305","ASV317",-3.32871384467319,0.776993763361097,1.83485835720716e-05,0.000206421565185806,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",NA
"306","ASV318",-1.93951755594841,0.682918375787433,0.00451074523848114,0.0270644714308868,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA
"317","ASV331",4.37220826682908,0.743595960832408,4.10719990386396e-09,1.32017139767056e-07,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Olleya",NA
"320","ASV334",3.24679875321436,0.931373502419472,0.000490240547360602,0.00393943296986198,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"322","ASV337",2.52883627040226,0.708787601966802,0.00035994486570111,0.00317598410912744,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","Halioglobus",NA
"328","ASV343",2.29998999220819,0.828651935003119,0.00551032888614792,0.0317903589585457,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia",NA
"340","ASV362",4.57361694728937,0.615074761911411,1.03880713571398e-13,1.55821070357096e-11,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Thiobios",NA
"344","ASV372",-2.4412524132077,0.906518370309379,0.00708126340525124,0.0383923919561814,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"346","ASV374",3.46286608421439,1.05119535934198,0.000986961185629439,0.00752767005988555,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Marine Methylotrophic Group 2",NA
"348","ASV376",3.67938333048226,0.723535548182542,3.67077489044289e-07,5.69603000241138e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Kangiellaceae","Aliikangiella",NA
"358","ASV396",2.49056633454889,0.871720984838611,0.00427573910889138,0.0263572958767277,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"359","ASV397",-2.44612000534681,0.75386080978659,0.00117537274621146,0.00881529559658596,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA
"361","ASV402",4.38351371117154,0.609895953414087,6.60783383947662e-13,4.95587537960746e-11,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Kangiellaceae",NA,NA
"370","ASV416",3.93775139478233,0.728417376792727,6.44838187289299e-08,1.28174415033827e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","HTCC5015",NA
"372","ASV419",-2.35321924474265,0.732470408524426,0.00131486333984281,0.00920096509489936,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas",NA
"378","ASV426",2.68509011336424,0.974572576261395,0.0058665880888984,0.0329995580000535,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"383","ASV438",2.52381719309816,0.973091776065647,0.00949751083718343,0.0496962776364249,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"388","ASV449",-2.2736003702479,0.532515091176914,1.95866811190541e-05,0.000209857297704151,TRUE,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"389","ASV454",4.08618375276273,0.68332560207574,2.2334489063655e-09,9.13683643513159e-08,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","Sedimenticola",NA
"393","ASV460",3.10253472816144,0.963432020262504,0.00128059018205114,0.00920096509489936,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"395","ASV462",2.95540163849528,0.833559651591444,0.000391840637800011,0.00326533864833342,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","HTCC5015",NA
"397","ASV468",3.26419914614384,0.918578628610097,0.000380094016062724,0.00326533864833342,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae",NA,NA
"402","ASV481",3.14903727276843,1.12736889464973,0.00521793276179983,0.0304944122442847,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","CH2b56",NA,NA,NA
"406","ASV489",3.22284097630036,0.908459251288672,0.000388772865520214,0.00326533864833342,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"412","ASV507",2.43897565231651,0.928114945889874,0.0085918560788454,0.0454862968880051,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aestuariimonas",NA
"413","ASV510",2.89130586468278,0.727587370234829,7.07271360951417e-05,0.00067717470729391,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"416","ASV522",3.18690099849349,0.950577033477806,0.000800573994195821,0.00621134995496758,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"417","ASV523",3.77214872783471,0.581935235460112,9.04687313074308e-11,4.52343656537154e-09,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae",NA,NA
"421","ASV536",3.41466643922279,0.683669558843726,5.8953162435951e-07,8.84297436539265e-06,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia",NA
"422","ASV554",2.9490645148018,0.855238154570421,0.000564257059941953,0.00445466099954174,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Marine Methylotrophic Group 2",NA
"424","ASV569",2.94459800843184,0.921781377838099,0.0014009045019534,0.0094090600877467,TRUE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA
"425","ASV574",3.6405135727396,0.646566728754788,1.79656349532439e-08,4.26266111314325e-07,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"431","ASV592",3.53554466019393,0.681629434391552,2.13821875988279e-07,3.43642300695448e-06,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA
"433","ASV599",3.59916520830302,0.595810398896818,1.53361939169757e-09,6.90128726263907e-08,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"438","ASV630",2.94235921978653,0.654028401201096,6.83301253572829e-06,8.09172537125719e-05,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Spongiibacter",NA
"439","ASV634",3.48749226118317,0.64585320357095,6.67070947275012e-08,1.28174415033827e-06,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","CH2b56",NA,NA,NA
"440","ASV636",3.37780238185984,0.646988098008211,1.78141567311568e-07,2.96902612185947e-06,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA
"446","ASV720",2.54390095688277,0.691837343355512,0.000235972930190578,0.0021670983384849,TRUE,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"447","ASV725",2.93726097338159,0.802399503769831,0.000251628566831837,0.00226465710148653,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudahrensia",NA
"450","ASV907",2.60180205087624,0.742711888169568,0.000459858101809701,0.003762475378443,TRUE,"Bacteria","Proteobacteria","Zetaproteobacteria","Mariprofundales","Mariprofundaceae","Mariprofundus",NA
